Spot;Dateiname;Koordinaten;
Altenheim Wilten;Skate_AltenheimWilten.jpg;47.2582, 11.3954;
Asfinag Ledge;Skate_AsfinagLedge.jpg;47.2732, 11.3967;
BTV/Sparkassenplatz;Skate_BTV1.jpg;47.2662, 11.3958;
;Skate_BTV2.jpg;47.2661, 11.3956;
;Skate_BTV3.jpg;47.2661, 11.3956;
Chrisuskirche;Skate_Christuskirche1.jpg;47.276, 11.4014;
;Skate_Christuskirche2.jpg;47.276, 11.4012;
Congress Wallie;Skate_CongressWall.jpg;47.2704, 11.3954;
Hauptuni;Skate_Hauptuni1.jpg;47.2644, 11.3858;
;Skate_Hauptuni2.jpg;47.2642, 11.3858 ;
Hörtnagl;Skate_Ho_rtnaglSet1.jpg;47.2759, 11.4051;
;Skate_Ho_rtnaglSet2.jpg;47.2759, 11.405;
;Skate_Ho_rtnaglSet3.jpg;47.2758, 11.405;
HotelCentral;Skate_Hotel1.jpg;47.2660, 11.3973;
;Skate_Hotel2.jpg;47.2661, 11.3964;
;Skate_Hotel3.jpg;47.2661, 11.3964;
Ischia;Skate_Ischia1.jpg;47.2639, 11.4038;
;Skate_Ischia2.jpg;47.2645, 11.4038;
;Skate_Ischia3.jpg;47.2639, 11.4038;
;Skate_Ischia4.jpg;47.2639, 11.4038;
Kletterhalle;Skate_Klettercurbs.jpg;47.2763, 11.4144;
Landestheater;Skate_LandestheaterLedge.jpg;47.27, 11.3956;
Landhausplatz;Skate_LHP1.jpg;47.2634, 11.3959 ;
;Skate_LHP2.jpg;47.2635, 11.3959;
;Skate_LHP3.jpg;47.264, 11.3957 ;
;Skate_LHP4.jpg;47.2641, 11.396;
;Skate_LHP5.jpg;47.2642, 11.3967;
Landesmuseum;Skate_Museum1.jpg;47.2671, 11.3976;
;Skate_Museum2.jpg;47.2671, 11.3976;
;Skate_Museum3.jpg;47.2673, 11.3973;
Rapoldipark;Skate_Rapoldipark1.jpg;47.2660, 11.4065;
;Skate_Rapoldipark2.jpg;47.2655, 11.4055;
;Skate_Rapoldipark3.jpg;47.2655, 11.4055;
Reichenau Skatepark;Skate_ReichenauPark1.jpg;47.2743, 11.4283;
;Skate_ReichenauPark2.jpg;47.2743, 11.4283;
;Skate_ReichenauPark3.jpg;47.2745, 11.4278;
Skatehalle Innsbruck;Skate_Skatehalle.jpg;47.2767, 11.4146;
Tivoli Curbs;Skate_Tivoli1.jpg;47.2595, 11.4062;
;Skate_Tivoli2.jpg;47.2596, 11.4064;
;Skate_Tivoli3.jpg;47.2593, 11.4069;
;Skate_Tivoli4.jpg;47.2595, 11.4062;
;Skate_Tivoli5.jpg;47.2595, 11.4062;
;Skate_Tivoli6.jpg;47.2595, 11.4062;
;Skate_Tivoli7.jpg;47.2597, 11.4063;
;Skate_Tivoli8.jpg;47.2593, 11.4069;
;Skate_Tivoli9.jpg;47.2586, 11.4069;
Tivoli Bank;Skate_TivoliBank1.jpg;47.2588, 11.4087;
;Skate_TivoliBank2.jpg;47.2588, 11.4087;
Tivoli Skatepark;Skate_TivoliPark1.jpg;47.2588, 11.4071;
;Skate_TivoliPark2.jpg;47.2587, 11.4076 ;
Tivoli Wallride;Skate_TivoliWallride.jpg;47.2599, 11.4104;
Wilten Wallie;Skate_WiltenWallie.jpg;47.2588, 11.3930;
Dreiheiligenwelle;Surf_Dreiheiligenwelle.jpg;47.2693, 11.4071;
Sillwelle;Surf_Sillwelle1.jpg;47.2777, 11.4172;
;Surf_Sillwelle2.jpg;47.2777, 11.4172;
;Surf_Sillwelle3.jpg;47.2777, 11.4172;